path,scan_root,depth,size_bytes,size_human,category,risk
C:\Program Files\Tesseract-OCR,C:\Program Files,1,90200529,86.02 MB,directory,manual_review
C:\Program Files\edb\EnterpriseDB-xDBReplicationServer,C:\Program Files,2,89837079,85.68 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\help,C:\Program Files,2,87215904,83.18 MB,directory,manual_review
C:\Program Files\Cheat Engine 7.5,C:\Program Files,1,84597242,80.68 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\font,C:\Program Files,2,81524074,77.75 MB,directory,manual_review
C:\Program Files (x86)\PostgreSQL\EnterpriseDB-xDBReplicationServer,C:\Program Files (x86),2,78386638,74.76 MB,directory,manual_review
C:\Program Files\Epic Games\Fortnite,C:\Program Files,2,71488541,68.18 MB,directory,manual_review
C:\Program Files\HP\OmenInstallMonitor,C:\Program Files,2,71135882,67.84 MB,directory,manual_review
C:\Program Files\CMake\bin,C:\Program Files,2,66958200,63.86 MB,directory,manual_review
C:\Program Files (x86)\ExpressVPN,C:\Program Files (x86),1,60194475,57.41 MB,directory,manual_review
C:\Program Files\NVIDIA Corporation\FrameViewSDK,C:\Program Files,2,55028420,52.48 MB,directory,manual_review
C:\Program Files (x86)\HP\HP Support Framework,C:\Program Files (x86),2,50675886,48.33 MB,directory,manual_review
C:\Program Files\Windows Defender,C:\Program Files,1,49531710,47.24 MB,directory,manual_review
C:\Program Files\DB Browser for SQLite,C:\Program Files,1,49270292,46.99 MB,directory,manual_review
C:\Program Files\CMake\doc,C:\Program Files,2,43815821,41.79 MB,directory,manual_review
C:\Program Files\BCUninstaller,C:\Program Files,1,43021107,41.03 MB,directory,manual_review
C:\Program Files\HP\Binaries,C:\Program Files,2,42269104,40.31 MB,directory,manual_review
C:\Program Files (x86)\BraveSoftware\Update,C:\Program Files (x86),2,41962112,40.02 MB,directory,manual_review
C:\Program Files (x86)\BraveSoftware,C:\Program Files (x86),1,41962112,40.02 MB,directory,manual_review
C:\Program Files (x86)\Common Files\BattlEye,C:\Program Files (x86),2,40553808,38.68 MB,directory,manual_review
